id;tweet
1;Acho esse assunto muito delicado, mas muito necessário. Delicado no sentido de que pra entender o que é apropriação cultural, é necessário aprender história (linha do tempo, culturas e tradições) e muitas pessoas não estão dispostas a aprender porra nenhuma
2;To me sentindo um analfabeto cultural por não conhecer Mac e ariana
3;Funk é tão cultural quanto o samba e o pagode
4;Não sei e nem quero saber amg, mas tudo indica que é ruim. Teve grandes polêmicas com cenas de cunho racista, personagem que fez apropriação cultural e o cara mais velho beijando uma colegial (esse último n vi muito sobre, mas foi algo assim)
5;Taxar livros é o mesmo que reafirmar que o pobre não tem direito à cultura, à se desenvolver intelectualmente, à acumular o famoso "capital cultural"... é contribuir ainda mais com o aumento das desigualdades socioeconômicas e culturais quer importa no nosso país.
6;Onde tem mds?????? Será que a indústria cultural vai me vencer mais uma vez???
7;E se ganha pra produzir sobre cultura? Nunca vi nem comi eu só ouço falar! Depois da morte da MTV Brasil (tô saudosa da emissora esses tempos) e das revistas impressas não vejo mais uma produção grande de jornalismo cultural. Sites que produzem coisa boa mesmo são voluntários!
8;"Taxar livros é assassinato cultural", diz Boris Casoy sobre reforma tributária #RedeTVNews
9;Nossa como assim vc só não ia cmg no centro cultural?
10;eu n acredito ainda q no meu último ano na etec eu n vo participa da feira cultural
11;Aí eu sei dessas coisas desde muito cedo pq eu sempre fui bugada da saúde, então minha família sempre quebrou cabeça pra conseguir não me matar de fome e nem me intoxicar com as vitaminas q reagem com remédios kkkkk mas fé q ja ja melhora
12;Minha saúde mental em primeiro lugar!!!
13;agora q caiu a ficha q se eu tivesse falado oq eu sentia TUDO ia tá diferente agora..... eu não estaria tão triste e com a saúde mental tao fudida e o ano passado nao teria sido um pesadelo....
14;amg vai comer,o importante é a sua saúde
15;EU VOU SER TITIO DE UMA MENINAAAAAAAAAAAA venha com muita saúde, Ana Lara, titio já te ama muito
16;Sim amiga, eu tenho que tomar essas coisas pela minha saúde e sofro demais com os efeitos colaterais sabe?
17;Tem coisa pior que ter um plano de saúde dental e perto da sua casa nenhum consultório aceitar?
18;Mas vc acha normal as merdas que ela disse ? Se a Alexandra tiver algum problema de saúde o problema é dela e do médico que a for ajudar .
19;Pra quem diz que malhar é bom, eu discordo, malhar te deixa td dolorido, cansado, com fome, e o pior os braço mal se mexe, ate pra tomar agua tá difícil, mas vamos lá né, dizem que melhora a saúde....
20;Para facilitar o trabalho, a escola optou por trabalhar com grandes temas que acabem fazendo com que todas as disciplinas possam se adequar. O tema dessa semana é "Saúde e Bem Estar". Acho lindo, gosto do tema... assim de saude
